Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Sorare,"Paris, Ile-de-France, France, Europe",Series B,680000000,USD,2021-09-20,https://sorare.com,"Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.","Accel, Aldea Ventures, Alexis Ohanian, Antoine Griezmann, Athletico Ventures, Atomico, Benchmark, Bessemer Venture Partners, Blisce, César Azpilicueta, D1 Capital Partners, Eurazeo, Felix Capital, Futury Capital, Gerard Pique, H14, Headline, IVP, Kylian Mbappé, Lionel Messi, LionTree, MCE Group, Rio Ferdinand, SoftBank","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer",
Mirakl,"Paris, Ile-de-France, France, Europe",Series E,555000000,USD,2021-09-21,http://www.mirakl.com,Mirakl is a SaaS solution that helps enterprises manage their marketplace and drop-ship business.,"83North, Elaia, Felix Capital, Permira, Silver Lake","E-Commerce, Enterprise Software, Marketplace, SaaS",
Contentsquare,"Paris, Ile-de-France, France, Europe",Series E,500000000,USD,2021-05-25,https://contentsquare.com,"Contentsquare is an AI platform that provides product analytics, customer feedback, digital experience analytics, and monitoring services.","BlackRock Private Equity Partners, Bleu Capital, Bpifrance, Canaan Partners, Eurazeo, Highland Europe, Kohlberg Kravis Roberts & Co., SoftBank Vision Fund","Analytics, Artificial Intelligence (AI), CRM, Data Visualization, Digital Marketing, SaaS",
Ledger,"Paris, Ile-de-France, France, Europe",Series C,380000000,USD,2021-06-10,https://www.ledger.com,Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.,"50T Funds, Alliance Entreprendre, Ambel, Animoca Brands, Ascendant Capital, CapHorn Invest, Cardinal Capital Partners, Cathay Innovation, CITA Investissement, Crédit Agricole Centre Loire, Crypto.com Capital, Cygni Capital, Digital Currency Group, Draper Associates, Draper Dragon, Fabric Ventures, Felix Capital, FirstMark, Global Founders Capital, Groupe Arnault, iAngels, Inherent Group, Korelya Capital, Libertus Capital, MACSF, Marcy Venture Partners, Maze, Molten Ventures, Patrick Amiel, Rosemoor Capital Management, Scott Galloway, Techmind, Tekne Capital, Uphold, Warburg Serres Investments, Wicklow Capital","Cryptocurrency, Cyber Security, Infrastructure, SaaS",
IAD France,"Lieusaint, Ile-de-France, France, Europe",Growth Equity,300000000,EUR,2021-02-19,https://www.iadfrance.fr/,IAD France is a web-based network of independent real estate consultants.,Insight Partners,Real Estate,
ManoMano,"Paris, Ile-de-France, France, Europe",Series F,355000000,USD,2021-07-05,http://www.manomano.fr,"ManoMano is an online marketplace for DIY, home improvement, and gardening products.","Aglaé Ventures, Armat Group, Bpifrance, Dragoneer Investment Group, Eurazeo, General Atlantic, Kismet Capital Group, Temasek Holdings","DIY, E-Commerce, Home and Garden, Home Improvement, Internet, Marketplace",
Back Market,"Paris, Ile-de-France, France, Europe",Series D,276000000,EUR,2021-05-18,https://www.backmarket.com,Back Market is an online marketplace for refurbished electronics.,"Aglaé Ventures, Daphni, Eurazeo, General Atlantic, Generation Investment Management, Goldman Sachs Growth Equity","Consumer Electronics, E-Commerce, Marketplace, Retail, Sustainability",
Eranove,"Paris, Ile-de-France, France, Europe",Growth Equity,250000000,USD,2021-08-07,http://www.eranove.com/en/,Eranove engages in electricity and water production and public service management.,"A.P. Moller Capital, Emerging Capital Partners, Impact Fund Denmark, KFW DEG","Energy, Infrastructure, Renewable Energy, Water",
Alan,"Paris, Ile-de-France, France, Europe",Series D,185000000,EUR,2021-04-19,https://alan.com,Alan provides online digital insurance services that modernizes the way individuals access and manage their healthcare.,"Ambel, Coatue, Dragoneer Investment Group, EXOR N.V., H14, Index Ventures, Ribbit Capital, Temasek Holdings","Financial Services, Health Care, Health Insurance, Insurance",
Shift Technology,"Paris, Ile-de-France, France, Europe",Series D,220000000,USD,2021-05-06,http://www.shift-technology.com/,Shift Technology is a provider of AI-driven decision automation and optimization technology for the global insurance industry.,"Accel, Advent International, Avenir, Bessemer Venture Partners, General Catalyst, IRIS","Artificial Intelligence (AI), Information Technology, Insurance, InsurTech, Machine Learning",
Vestiaire Collective,"Paris, Ile-de-France, France, Europe",Series H,178000000,EUR,2021-03-01,http://vestiairecollective.com,Vestiaire Collective is an online marketplace that allows users to buy and sell pre-owned luxury fashion items.,"Bpifrance, Condé Nast, Cuir Invest, Eurazeo, Fidelity International, Kering Ventures, Korelya Capital, Luxury Tech Fund, Maximilian Bittner, Tiger Global Management, Vitruvian Partners","E-Commerce, Fashion, Marketplace",
Vestiaire Collective,"Paris, Ile-de-France, France, Europe",Series I,210000000,USD,2021-09-22,http://vestiairecollective.com,Vestiaire Collective is an online marketplace that allows users to buy and sell pre-owned luxury fashion items.,"Bpifrance, Condé Nast, Eurazeo, Generation Investment Management, Korelya Capital, SoftBank Vision Fund","E-Commerce, Fashion, Marketplace",
Swile,"Paris, Ile-de-France, France, Europe",Series D,200000000,USD,2021-10-11,https://www.swile.co/,Swile is a digital solutions provider for employee benefits with an all-in-one smartcard and an app for team life.,"Bpifrance Large Venture, Eurazeo, Headline, Hedosophia, Index Ventures, SoftBank","Apps, Coupons, Employee Benefits, Food and Beverage, Mobile Payments",
Owkin,Paris ,Growth Equity,180000000,EUR,2021-11-10,https://www.owkin.com/,Collaborative research platform and unique AI drug development solutions that make precision medicine a reality.,Sanofi,"HealthTech, AI, BioTech",
DNA Script,"Le Kremlin-bicêtre, Ile-de-France, France, Europe",Series C,165000000,USD,2021-10-26,https://www.dnascript.com,DNA Script is a disruptive DNA synthesis company harnessing biology to accelerate breakthroughs in life science and human health.,"Agilent Technologies, Alexandria Venture Investments, ArrowMark Partners, Bpifrance, Casdin Capital, Catalio Capital Management, Coatue, Columbia Threadneedle Investments, Danaher Life Science, EQT Life Sciences, Farallon Capital Management, Fidelity, Illumina Ventures, Kurma Partners, Moore Strategic Ventures, M Ventures","Biotechnology, Health Care, Life Science, Medical",
Younited,"Paris, Ile-de-France, France, Europe",Series G,137200000,EUR,2021-07-08,https://www.younited-group.com,Younited provides an online platform that connects and facilitates financial transactions between lenders and borrowers.,"AG2R La Mondiale, Bpifrance, Bridgepoint, Eurazeo, Goldman Sachs","Credit, Financial Services, FinTech",
Shadow,"Paris, Ile-de-France, France, Europe",Growth Equity,135000000,EUR,2021-03-22,https://shadow.tech/fr-FR,Shadow is a high-performance cloud-based computer that has an automated hardware evolution.,"Bossa Invest, Marc Simoncini, Philippe Lazare, Pierre Kosciusko-Morizet, Serena","Cloud Computing, Cloud Data Services, Computer, Gaming, Hardware, Mobile, Software",
MicroPort CRM,"Clamart, Ile-de-France, France, Europe",Series C,150000000,USD,2021-07-26,https://www.crm.microport.com/,MicroPort CRM develops solutions for the management of cardiac rhythm disorders and heart failure.,"CICC, Country Garden Venture Capital, E Fund Management Co.,LTD., Hillhouse Investment, L Squared Capital Partners, MicroPort (Shanghai), Wanhai Investment, Yongrong Asset","CRM, Health Care, Health Diagnostics, Medical, Medical Device, Software",
Essor,"Paris, Ile-de-France, France, Europe",Series A,150000000,USD,2021-02-09,https://www.goessor.com,Essor provider of a digital consumer product platform.,"Declaration Partners, Gabriel Naouri, Jon Oringer, Kima Ventures, Kreos Capital, Lurra Capital AG, Mark Pincus, Maximilian Bittner, Regah Ventures, Target Global, Tiger Global Management, Vine Ventures","Consumer Goods, E-Commerce, Marketing",
Dental Monitoring,"Paris, Ile-de-France, France, Europe",Growth Equity,150000000,USD,2021-10-21,http://dental-monitoring.com,"Dental Monitoring is an AI-based, remote monitoring platform for the orthodontics industry.","Mérieux Equity Partners, Vitruvian Partners","Artificial Intelligence (AI), Dental, Health Care, Machine Learning, Medical, Medical Device",
Provepharm life Solutions,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",Growth Equity,120000000,EUR,2021-09-08,https://www.provepharm.com/,"Provepharm life Solutions is a truly unique life sciences research and pharma company, dedicated to a new era of discovery.","Banque Populaire Méditerranée, BNP Paribas, Bpifrance, Crédit Agricole Alpes Provence, Societe Generale, Tikehau Capital","Health Care, Life Science, Pharmaceutical",
Ornikar,"Paris, Ile-de-France, France, Europe",Series C,120000000,USD,2021-04-21,https://www.ornikar.com,"Ornikar is an online driving school that offers radically cheaper, uncomplicated and faster offer to obtain a driving license.","Bpifrance, Brighteye Ventures, Elaia, Eurazeo, H14, Idinvest Partners, Kohlberg Kravis Roberts & Co.","Consumer, Education, E-Learning, Training",
Newcleo,"Paris, Ile-de-France, France, Europe",Seed,118000000,USD,2021-08-31,https://www.newcleo.com/,Newcleo is an atomic energy company that focuses on developing advanced nuclear energy technologies.,"Club degli Investitori, EXOR N.V., LIFTT, MACAN","Clean Energy, Energy, Energy Management, Nuclear",
Spendesk,"Paris, Ile-de-France, France, Europe",Series C,100000000,EUR,2021-07-21,https://www.spendesk.com,Spendesk is a smart spend management software designed for both finance teams and employees.,"AA Sons, Eight Roads Ventures, General Atlantic, Index Ventures","B2B, Credit Cards, Financial Services, FinTech, Payments, SaaS, Software",
Verkor,"Grenoble, Rhone-Alpes, France, Europe",Series A,100000000,EUR,2021-07-07,https://www.verkor.com,Verkor manufactures low-carbon batteries to target the electric mobility markets.,"Arkema, Capgemini, Demeter, EIT InnoEnergy, EQT Ventures, Government of France, Groupe IDEC, Renault Group, Schneider Electric, Tokai COBEX","Battery, Electronics, Industrial, Manufacturing",888047792
Leocare,"Paris, Ile-de-France, France, Europe",Series B,116000000,USD,2021-11-23,https://leocare.eu/,Leocare Assurance is an insurer that offers multi-equipment contracts.,"Daphni, Eight Roads Ventures, Felix Capital, Ventech","Financial Services, Insurance",
Cosmobilis,"Paris, Ile-de-France, France, Europe",Growth Equity,100000000,EUR,2021-12-22,https://www.cosmobilis.eu,Cosmobilis is the holding company of ByMyCAR car distribution group in Europe.,"Crédit Agricole, IDIA Capital Investissement","Automotive, Retail, Sales",904723715
PayFit,"Paris, Ile-de-France, France, Europe",Series D,90000000,EUR,2021-03-15,https://payfit.com,PayFit offers technology that simplifies and automates payroll and HR processes for small and medium-sized businesses.,"Accel, Bpifrance, Eurazeo, Frst, Xavier Niel","Human Resources, Payments, SaaS, Software",
Ankorstore,"Paris, Ile-de-France, France, Europe",Series B,84000000,EUR,2021-05-16,https://www.ankorstore.com,Ankorstore is a wholesale marketplace that connects independent shop owners and specialist brands with neighborhood retailers.,"Aglaé Ventures, Alven, Bain Capital Ventures, Global Founders Capital, Index Ventures, TCV, Tiger Global Management","B2B, E-Commerce, Marketplace, Retail, Wholesale",
ManuCo,"Bergerac, Aquitaine, France, Europe",Growth Equity,100000000,USD,2021-01-27,http://www.manuco-nc.com/,"MANUCO is a supplier for the defense, outdoors, law enforcement, pyrotechnics and civil explosives industries.",,"Chemical, Chemical Engineering",
Lydia,"Paris, Ile-de-France, France, Europe",Series C,100000000,USD,2021-12-08,https://lydia-app.com,Lydia is a banking application to send and receive payments using the application.,"Accel, Dragoneer Investment Group, Echo Street Capital, Founders Future, Tencent","Apps, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments",884748898
eCential Robotics,"Gières, Rhone-Alpes, France, Europe",Growth Equity,,,2021-01-19,https://www.ecential-robotics.com/fr,eCential Robotics invents and develops innovative technologies dedicated to 2D/3D imaging and computer assisted minimally-invasive surgery.,"BNP Paribas, Bpifrance, Caisse d’Epargne, Crédit Agricole, Medinnova, TRAIL SOLUTIONS PATRIMOINE","Computer, Health Care, Medical Device",
Agicap,"Lyon, Rhone-Alpes, France, Europe",Series B,100000000,USD,2021-05-27,https://agicap.com,"Agicap is a treasury management platform that helps businesses manage their cash flow, pay invoices, and keep track of account receivables.","BlackFin Capital Partners, Greenoaks, Partech","Finance, FinTech, SaaS, Software",
Malt,"Paris, Ile-de-France, France, Europe",Series C,80000000,EUR,2021-05-31,https://www.malt.com,Malt is a curated local marketplace that connects the best freelancers and customers.,"Eurazeo, Goldman Sachs Growth Equity","Consumer, Marketplace, Search Engine",
NEoT,"Paris, Ile-de-France, France, Europe",Growth Equity,80000000,EUR,2021-10-06,https://www.neotcapital.com/en/,NEoT offers financing solutions in the fields of zero-emission mobility and clean and off-grid energy.,"3i Group, Banque des Territoires, Mirova","Energy, Finance, Renewable Energy",821239670
Mnemo Therapeutics,"Paris, Ile-de-France, France, Europe",Series A,75000000,EUR,2021-06-16,https://www.mnemo-tx.com/,Mnemo Therapeutics specializes in biotechnology and life science.,"Alexandria Venture Investments, Casdin Capital, Emerson Collective, Redmile Group, Sofinnova Partners","Biotechnology, Health Care, Therapeutics",
Epsa Group,"Paris, Ile-de-France, France, Europe",Growth Equity,70000000,EUR,2021-04-13,http://www.epsagroupe.com/,Epsa Group is a management and purchase consultancy.,"Allianz Global Investors, Pemberton Asset Management Group","Business Development, Consulting, Finance",
OpenClassrooms,"Paris, Ile-de-France, France, Europe",Series C,80000000,USD,2021-04-27,http://openclassrooms.com/,OpenClassrooms is a European online education platform with more than 2 million members and fully online degrees.,"Bpifrance, Chan Zuckerberg Initiative, General Atlantic, GSV Ventures, Lumos Capital Group, Salesforce Ventures","EdTech, Education, Training",
Amolyt Pharma,"Écully, Rhone-Alpes, France, Europe",Series B,80000000,USD,2021-09-16,https://amolytpharma.com,Amolyt Pharma specializes in peptides for the treatment of rare endocrine and metabolic disorders.,"Andera Partners, ATEM Capital Fund LP, Bpifrance, Credit Agricole Entreprises, EQT Life Sciences, Eurazeo, Kurma Partners, Mass General Brigham Ventures, Novo Ventures, OrbiMed, Pontifax, Sectoral Asset Management, Sham","Biotechnology, Health Care, Medical, Pharmaceutical, Wellness",
Oui Care,"Le Mans, Pays de la Loire, France, Europe",Growth Equity,65000000,EUR,2021-02-25,http://www.ouicare.com,Oui Care provides home maintenance and childcare services,"AXA Group, CAPZA","Child Care, Home Services",833520075
TreeFrog Therapeutics,"Bordeaux, Aquitaine, France, Europe",Series B,64000000,EUR,2021-09-13,https://treefrog.fr/,TreeFrog Therapeutics is a stem cell company that will enable millions of patients to access the medical revolution of cell therapies.,"Aquitaine Science Transfer, AQUITI Gestion, BNP Paribas Développement, Bpifrance, Bristol-Myers Squibb, Leonard Green & Partners, XAnge","Biopharma, Biotechnology, Therapeutics",
Plug In Digital,"Montpellier, Languedoc-Roussillon, France, Europe",Series B,75000000,USD,2021-11-24,https://plugindigital.com,"Plug In Digital is a video game distributor that helps studios and publishers distributing their games on PC, consoles, and mobile.","Bridgepoint, Eurazeo","Console Games, PC Games, Publishing, Video Games",
Brut,"Paris, Ile-de-France, France, Europe",Series C,75000000,USD,2021-06-30,https://www.brut.media,Brut is a global media company that creates short-form video content.,"Groupe Artémis, James Murdoch, Orange Ventures, Red River West, Tikehau Capital","Media and Entertainment, News, Publishing, Social Media, Video",
Pigment,"Paris, Ile-de-France, France, Europe",Series B,73000000,USD,2021-11-15,https://www.pigment.com/,"Pigment is an AI-driven planning platform that connects people, data, and processes, helping planners prepare for any situation.","Blossom Capital, FirstMark, Greenoaks","Artificial Intelligence (AI), Information Technology, Software",
Pigment,"Paris, Ile-de-France, France, Europe",Series B,73000000,USD,2021-11-14,https://gopigment.com,Pigment is a business forecasting platform that handles business strategy in real-time.,"Blossom Capital, FirstMark, Greenoaks","Analytics, Business Development, Information Technology, Real Time, SaaS",
Constellation,"Saint-cloud, Ile-de-France, France, Europe",Growth Equity,70000000,USD,2021-11-16,https://www.constellation.fr/,Constellation is a cloud and artificial intelligence powered information technology company.,"CapHorn Invest, Qualium Investissement","Artificial Intelligence (AI), Business Intelligence, Cloud Management, Consulting, Information Technology, Software, Web Development",820764454
Singulart,"Paris, Ile-de-France, France, Europe",Series B,60000000,EUR,2021-11-19,https://www.singulart.com/en/,Singulart is a  convinced that the digital space is an invaluable tool for bringing transparency and equity to the art market.,"Bpifrance, FJ Labs, Turenne Groupe, Ventech, Vitruvian Partners","Art, Internet",
EasyMile,"Toulouse, Midi-Pyrenees, France, Europe",Series B,55000000,EUR,2021-04-28,http://easymile.com/,"EasyMile is a high-tech startup specialized in providing both, software powering autonomous vehicles and smart mobility solutions.","Alstom, Bpifrance, Continental, McWin Partners, NextStage, Searchlight Capital Partners","Automotive, Autonomous Vehicles, Electric Vehicle, Robotics, Software, Transportation",
Federation Entertainment,"Paris, Ile-de-France, France, Europe",Growth Equity,50000000,EUR,2021-06-03,http://fedent.com/,"Federation Entertainment heralds a new model for the creation, production, distribution and marketing of high quality TV shows.",Montefiore Investment,"Film Production, Marketing, TV",
ARGOBIO,"Paris, Ile-de-France, France, Europe",Series A,50000000,EUR,2021-03-02,https://www.argobiostudio.com/,Argobio is a start-up studio for therapeutics aiming to nurture and launch biotech companies.,"Bpifrance, Evotec, Kurma Partners, Pasteur Institute",Biotechnology,
eureKARE,"Paris, Ile-de-France, France, Europe",Series A,60000000,USD,2021-05-18,https://eurekare.eu,eureKARE is focused on investing in synthetic biology biotechnology companies and creating new ventures.,,"Biotechnology, Finance, Venture Capital",
Virtuo,"Paris, Ile-de-France, France, Europe",Series C,50000000,EUR,2021-03-20,https://www.govirtuo.com/,Virtuo is a digital car rental app Designed for city dwellers that provides a range of cars on demand.,"Alpha Intelligence Capital, AVP, Balderton Capital, Bpifrance, H14, IRIS, Raise Ventures","Internet, Rental, Transportation",
Alma,"Neuilly-sur-seine, Ile-de-France, France, Europe",Series B,49000000,EUR,2021-01-25,https://www.getalma.eu/,Alma is a provider of installment-based payments through a large merchant network.,"AA Sons, Bpifrance, Cathay Innovation, Financiere Saint James, Idinvest Partners, Picus Capital, Seaya, Wind","Financial Services, Payments, Transaction Processing",
TISSIUM,"Paris, Ile-de-France, France, Europe",Series C,50000000,EUR,2021-08-31,https://tissium.com/,TISSIUM develops biodegradable sealants and adhesives for wound closure in the field of minimally-invasive surgery.,"Cathay Capital, Sofinnova Partners","Biotechnology, Health Care, Medical Device",
Lhyfe,"Nantes, Pays de la Loire, France, Europe",Series A,50000000,EUR,2021-10-01,https://www.lhyfe.com,"Lhyfe is a producer and supplier of green hydrogen, generated through renewable energy sources.","Banque des Territoires, Noria Invest, Ouest Croissance, Ovive, Swen Capital Partners, Vendée Energie","Energy, Energy Management, Renewable Energy",850415290
Agronutris,"Saint-orens-de-gameville, Midi-Pyrenees, France, Europe",Series A,50000000,EUR,2021-09-30,https://www.agronutris.com/en/,Agronutris is a biotech company involved in the breeding and processing of insects for food.,"Bertrand Jelensperger, Bpifrance, Mirova, Nutergia Laboratory","Biotechnology, Farming, Life Science, Organic Food",850855644
Lifen,"Paris, Ile-de-France, France, Europe",Series C,50000000,EUR,2021-11-15,https://www.lifen.fr/,Lifen is your simple and secure exchange of medical letters assistant.,"Creadev, Lauxera Capital Partners, MACSF, Partech, Serena","Artificial Intelligence (AI), Computer, Health Care",
Artur'In,"Paris, Ile-de-France, France, Europe",Growth Equity,42000000,EUR,2021-06-02,https://www.arturin.com/,Artur'In is an AI-based platform to help real-estate professionals deploy an advanced digital marketing solution.,PSG Equity,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Marketing, Real Estate",821012382
Homa Games,"Paris, Ile-de-France, France, Europe",Series A,50000000,USD,2021-10-10,https://homagames.com,Homa Games is a gaming technology platform that publishes and creates mobile games for studios and developers.,"Alberto Horihuela, Daniel Ek, David Gandler, Eurazeo, Headline, King, Northzone, OneRagtime, Singular, Sung Ho Choi","Gaming, Mobile Apps, Online Games, Publishing, Software",
Sorare,"Paris, Ile-de-France, France, Europe",Series A,40000000,EUR,2021-02-25,https://sorare.com,"Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.","Accel, Alexis Ohanian, Ambel, Antoine Griezmann, Archimedia, Benchmark, Gary Vaynerchuk, Go4it Capital, Headline, Hedosophia, Rio Ferdinand","Blockchain, Cryptocurrency, Fantasy Sports, Gaming, Soccer",
La Barrière Automatic,"Limonest, Rhone-Alpes, France, Europe",Growth Equity,40000000,EUR,2021-07-01,https://www.grouplba.com/en,"La Barrière Automatic is a manufacturer of lifting barriers such as closing bridges, tunnels and closing lanes.",IXO Private Equity,"Industrial, Manufacturing, Mechanical Engineering",
Skello,"Paris, Ile-de-France, France, Europe",Series B,40000000,EUR,2021-09-16,https://www.skello.io,"Skello makes schedule in a few clicks, communicate with teams and automatically process payroll.","Aglaé Ventures, Partech, XAnge","Business Information Systems, Computer, Human Resources, SaaS, Software",
Egle Therapeutics,"Paris, Ile-de-France, France, Europe",Series A,40000000,EUR,2021-10-22,https://www.egle-tx.com,Egle Therapeutics is a biotechnology company focused on developing immunotherapies for oncology and autoimmune diseases.,"Bioqube Ventures, Bpifrance, EQT Life Sciences, Fund+, JDRF T1D Fund, Takeda Ventures","Biotechnology, Health Care, Oncology, Therapeutics",
Quantum Surgical,"Montpellier, Languedoc-Roussillon, France, Europe",Series B,40000000,EUR,2021-10-19,https://quantumsurgical.com/,Quantum Surgical mission is to democratize minimally invasive liver cancer treatment,"Ally Bridge Group, Bpifrance, Caisse d’Epargne, European Investment Bank","Health Care, Medical Device, Oncology",824393003
Satys,"Blagnac, Midi-Pyrenees, France, Europe",,40000000,EUR,2021-09-30,https://www.satys.com/,Satys offers the aviation and rail industry unique services resulting from its in-house team of painting & sealing experts.,"Ace Capital Partners, Bpifrance, Crédit Mutuel Equity",Aerospace,
ZE Energy,"Paris, Ile-de-France, France, Europe",Series A,40000000,EUR,2021-11-26,https://www.ze-energy.com/,ZE Energy  is an independent producer of renewable energy.,"Demeter, EverWatt, HTGF (High-Tech Gruenderfonds), Marguerite, Soregies, Ze Way Invest","Energy, Renewable Energy, Solar",
GitGuardian,"Paris, Ile-de-France, France, Europe",Series B,39000000,EUR,2021-12-07,https://www.gitguardian.com,GitGuardian provides a platform for detecting and managing sensitive digital credentials and machine identities.,"Balderton Capital, Bpifrance, Eurazeo, Fly Ventures, Sapphire Ventures","Cloud Security, Computer, Cyber Security, DevOps, Software",
Corwave,"Paris, Ile-de-France, France, Europe",Series C,35000000,EUR,2021-01-06,https://www.corwave.com/,CorWave is a medical device company developing innovative heart pumps.,"Arbevel, Bpifrance, European Innovation Council, EXOR N.V., M&L Healthcare Investments, Novo Holdings, Seventure Partners, Sofinnova Partners, Ysios Capital","Health Care, Manufacturing, Medical Device",
Matera,"Paris, Ile-de-France, France, Europe",Series B,43000000,USD,2021-05-25,https://www.matera.eu/,We make the life of co-owners easy !,"Bpifrance, Burda Principal Investments, Index Ventures, Mubadala Capital Ventures, Samaipata","Accounting, Construction, Real Estate",
Indy,"Lyon, Rhone-Alpes, France, Europe",Series B,35000000,EUR,2021-01-21,https://www.indy.fr/,Indy offers end-to-end and advanced AI-powered accounting software for freelancers and professionals.,"Alven, Kerala Ventures, Singular","Accounting, Artificial Intelligence (AI), FinTech, Freelance, Machine Learning",
iziwork,"Paris, Ile-de-France, France, Europe",Series B,35000000,EUR,2021-01-13,https://www.iziwork.com,Iziwork is a digital employment platform that connects temporary workers to a wide range of jobs and assignments.,"Bpifrance, Cathay Innovation","Employment, Human Resources, Information Technology, Recruiting",
Cubyn,"Paris, Ile-de-France, France, Europe",Series C,35000000,EUR,2021-03-18,https://www.cubyn.com/fr/,Cubyn offers fulfillment services for e-businesses.,"360 Capital, BNP Paribas Développement, Bpifrance, DN Capital, Eurazeo, First Bridge Ventures, Fuse Venture Partners","E-Commerce, Logistics, Shipping, Supply Chain Management",
Step Pharma,"Paris, Ile-de-France, France, Europe",Series B,35000000,EUR,2021-03-24,http://www.step-ph.com/,Step Pharma is a biotechnology company.,"Bpifrance, Hadean Ventures, Kurma Partners, Pontifax, Sunstone Life Science Ventures","Biotechnology, Pharmaceutical",
Valgo,"Petit Couronne, Haute-Normandie, France, Europe",,35000000,EUR,2021-08-07,https://www.valgo.com/en/,Valgo offers remediation and revitalization services for brownfields and industrial sites.,Tikehau Capital,"Environmental Engineering, Renewable Energy",
Didomi,"Paris, Ile-de-France, France, Europe",Series B,33800000,EUR,2021-07-09,https://www.didomi.io,Didomi is a consent and preference management platform for collecting and leveraging user consents and preferences for businesses.,"BREEGA, Elephant","Compliance, Information Technology, Privacy, Software",
Cajoo,"Paris, Ile-de-France, France, Europe",Series A,40000000,USD,2021-09-02,https://www.cajoo.eu/,Cajoo is the French Q-commerce company that delivers groceries to your door in minutes,"Carrefour, Frst, Headline, XAnge","Delivery, Delivery Service, E-Commerce, Grocery, Retail, Same Day Delivery",
Coave Therapeutics,"Paris, Ile-de-France, France, Europe",Series B,33000000,EUR,2021-07-21,https://coavetx.com,Horama develops gene therapies for rare inherited ocular and CNS (central nervous system) diseases.,"eureKARE, GO CAPITAL, Idinvest Partners, Kurma Partners, Omnes Capital, Seroba Life Sciences, Sham, V-Bio Ventures","Biotechnology, Genetics, Life Science, Neuroscience",
Sun'R,"Paris, Ile-de-France, France, Europe",,30000000,EUR,2021-05-18,http://www.sunr.fr,"SH1 Is The Sole Shareholder Of Sun’R Infrastructure, ","Bpifrance, IDIA Capital Investissement, RGreen Invest, Sofilaro","Real Estate, Solar",
Foodles,"Clichy, Ile-de-France, France, Europe",Series B,31000000,EUR,2021-09-15,http://www.foodles.co,Foodles is a re-invented canteen for SMEs that offers autonomous internal restoration solutions.,"Adelie, Bpifrance, Creadev, DN Capital, InfraVia Capital Partners","Catering, Food and Beverage, Retail Technology, Small and Medium Businesses, Wellness",
Yousign,"Caen, Basse-Normandie, France, Europe",Series A,30000000,EUR,2021-06-10,https://yousign.com/,"Yousign is a digital trust platform offering secure eSignatures, identity verification, and eSeals for compliant workflows.","AA Sons, Hexa, Lead Edge Capital","E-Signature, Information Technology, SaaS, Small and Medium Businesses, Software",
Solveo Energie,"Fenouillet, Midi-Pyrenees, France, Europe",,30000000,EUR,2021-04-26,http://www.solveo-energie.com,Solveo Energie provides services in the fields of consulting and renewable energy.,MIDI 2i,"Energy, Environmental Consulting, Renewable Energy, Wind Energy",
Planity,"Paris, Ile-de-France, France, Europe",Series B,30000000,EUR,2021-07-27,http://www.planity.com,"Planity is an online booking platform for beauty appointments, including haircuts, beauty salons, barbers, manicures, and spas.","Alven, Bpifrance, Crédit Mutuel Innovation, Eiffel Investment Group, Revaia, Robin Haak","Beauty, Fashion, Lifestyle, Online Portals",
Acheel,"Paris, Ile-de-France, France, Europe",Seed,29000000,EUR,2021-05-18,https://www.acheel.com/,Acheel is a digital platform that offers insurance services.,"Portage Ventures, Serena, Xavier Niel","Insurance, InsurTech",
Alira Health,"Paris, Ile-de-France, France, Europe",,35000000,USD,2021-04-12,https://www.alirahealth.com,Alira Health is an international advisory firm.,Creadev,"Biotechnology, Consulting, Health Care",
Clever Connect,"Paris, Ile-de-France, France, Europe",Series B,30000000,EUR,2021-10-18,http://www.cleverconnect.com/,Clever Connect is a HR tech startup.,"Citizen Capital, Sofiouest, Yttrium","Consulting, Human Resources, Information Technology, Recruiting, Staffing Agency",
Depixus,"Courbevoie, Ile-de-France, France, Europe",Series A,30600000,EUR,2021-12-15,https://depixus.com/,"Depixus are pioneering the development of MAGNA, a novel genetic analysis technology for decoding the dynamic genome.","Arix Bioscience, Bpifrance, Casdin Capital, Lansdowne Partners","Biotechnology, Genetics, Health Care, Medical",
Shippeo,"Paris, Ile-de-France, France, Europe",Series C,32000000,USD,2021-01-14,http://www.shippeo.com,Shippeo is an IT services company that expertise in real time multimodal transportation visibility to help shippers and logistics services.,"Battery Ventures, Bpifrance, ETF Partners, NGP Capital, Partech, SAP.iO","B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Sustainability",
Vulog,"Nice, Provence-Alpes-Cote d'Azur, France, Europe",Series C,26000000,EUR,2021-01-20,http://www.vulog.com,Vulog builds technology solutions that power the most successful shared mobility businesses in the world.,"Bpifrance, Ecotechnologies Fund, ETF Partners, European Investment Bank, Frog Capital, Inven Capital","Automotive, Car Sharing, Ride Sharing, SaaS, Software, Subscription Service, Transportation",
